EX	EM	
nm	nm	
		Z of Processed Data: RM
585	361.955	0
585	363.588	0
585	365.222	0
585	366.856	0
585	368.491	0
585	370.126	0
585	371.762	0
585	373.398	0
585	375.035	0
585	376.672	0
585	378.31	0
585	379.949	0
585	381.588	0
585	383.227	0
585	384.867	0
585	386.508	0
585	388.149	0
585	389.79	0
585	391.432	0
585	393.075	0
585	394.718	0
585	396.361	0
585	398.005	0
585	399.65	0
585	401.295	0
585	402.941	0
585	404.587	0
585	406.233	0
585	407.88	0
585	409.527	0
585	411.175	0
585	412.824	0
585	414.473	0
585	416.122	0
585	417.772	0
585	419.422	0
585	421.073	0
585	422.724	0
585	424.376	0
585	426.028	0
585	427.681	0
585	429.334	0
585	430.987	0
585	432.641	0
585	434.295	0
585	435.95	0
585	437.606	0
585	439.261	0
585	440.918	0
585	442.574	0
585	444.231	0
585	445.889	0
585	447.547	0
585	449.205	0
585	450.864	0
585	452.523	0
585	454.182	0
585	455.842	0
585	457.503	0
585	459.164	0
585	460.825	0
585	462.487	0
585	464.149	0
585	465.811	0
585	467.474	0
585	469.137	0
585	470.801	0
585	472.465	0
585	474.13	0
585	475.794	0
585	477.46	0
585	479.125	0
585	480.791	0
585	482.458	0
585	484.124	0
585	485.792	0
585	487.459	0
585	489.127	0
585	490.795	0
585	492.464	0
585	494.133	0
585	495.802	0
585	497.472	0
585	499.142	0
585	500.812	0
585	502.483	0
585	504.154	0
585	505.825	0
585	507.497	0
585	509.169	0
585	510.842	0
585	512.514	0
585	514.187	0
585	515.861	0
585	517.535	0
585	519.209	0
585	520.883	0
585	522.558	0
585	524.233	0
585	525.908	0
585	527.584	0
585	529.26	0
585	530.936	0
585	532.613	0
585	534.29	0
585	535.967	0
585	537.644	0
585	539.322	0
585	541	0
585	542.678	0
585	544.357	0
585	546.036	0
585	547.715	0
585	549.395	0
585	551.074	0
585	552.754	0
585	554.435	0
585	556.115	0
585	557.796	0
585	559.477	0
585	561.159	0
585	562.84	0
585	564.522	0
585	566.204	0
585	567.886	0
585	569.569	0
585	571.252	0
585	572.935	0
585	574.618	0
585	576.302	0
585	577.986	0
585	579.67	0
585	581.354	0
585	583.038	0
585	584.723	0
585	586.408	0
585	588.093	0
585	589.778	0
585	591.464	0
585	593.15	0
585	594.835	0
585	596.522	32.3614773853755
