Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	318.071	-21.8583196463332
600	319.689	-17.4889135179427
600	321.307	-21.867647597693
600	322.926	0
600	324.546	-27.4208111990818
600	326.166	37.1132526791273
600	327.787	40.0366782491748
600	329.408	52.5436592859413
600	331.03	41.3573065163397
600	332.653	-43.4169972073068
600	334.276	64.7483293828102
600	335.9	8.00551285567896
600	337.524	42.8632557468903
600	339.149	-28.6002404996573
600	340.774	-15.2102018405987
600	342.4	4.49584350957072
600	344.026	-22.5098473460306
600	345.653	-3.63719589278159
600	347.281	20.973806629247
600	348.909	58.7413044435972
600	350.538	-56.4653777871194
600	352.167	-21.4738554110271
600	353.797	10.3475388678959
600	355.428	27.5070770209765
600	357.059	-5.69970031951869
600	358.69	41.2130751979391
600	360.322	5.76296927323535
600	361.955	13.5506871350693
600	363.588	20.3123335387986
600	365.222	40.7438098656064
600	366.856	82.5504264651781
600	368.491	-22.3045235402482
600	370.126	54.1562500196573
600	371.762	5.76945214992079
600	373.398	-7.70905664890232
600	375.035	-4.82035081295646
600	376.672	10.4544299103639
600	378.31	1.88219369728724
600	379.949	-13.9463763055676
600	381.588	22.3111824590535
600	383.227	-43.6853211603157
600	384.867	44.050871305721
600	386.508	18.2391473861416
600	388.149	19.8388690115831
600	389.79	-3.54239929880801
600	391.432	-4.37158023403025
600	393.075	-49.4839942558515
600	394.718	28.6384645092025
600	396.361	85.8173215918997
600	398.005	-74.041174735699
600	399.65	11.7586980260903
600	401.295	8.42938211882824
600	402.941	27.4220482513207
600	404.587	24.0825608268028
600	406.233	47.8336545784117
600	407.88	4.94589586630756
600	409.527	-6.48472884889288
600	411.175	101.478166524105
600	412.824	-6.42692811238413
600	414.473	28.6023770990339
600	416.122	24.472989303243
600	417.772	-0.774033272282241
600	419.422	-12.3428718459987
600	421.073	-29.2110435191568
600	422.724	46.6597202389087
600	424.376	-11.3772554861216
600	426.028	-4.49598249812729
600	427.681	36.7253620862841
600	429.334	14.1081915165106
600	430.987	-19.2300953735671
600	432.641	45.7399125234375
600	434.295	57.5714895903195
600	435.95	11.1448779269936
