Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	319.689	6.68930026485744
600	321.307	37.1773478125625
600	322.926	7.65257683314426
600	324.546	-31.7443331040532
600	326.166	42.4327470012787
600	327.787	55.0370710785296
600	329.408	98.2915362676324
600	331.03	46.6584579865878
600	332.653	-10.5503905573606
600	334.276	89.7394942229448
600	335.9	16.9379067146263
600	337.524	67.1844286541216
600	339.149	-36.6510687833417
600	340.774	0.123918751585958
600	342.4	45.9994338721833
600	344.026	1.93415157506845
600	345.653	-30.964297224098
600	347.281	-13.7102758207265
600	348.909	55.1072829217798
600	350.538	14.9293141763827
600	352.167	-1.86943292469003
600	353.797	3.77160615623121
600	355.428	-37.005609181633
600	357.059	28.7682976539019
600	358.69	16.2142796738395
600	360.322	-6.85080966647638
600	361.955	21.3270321270275
600	363.588	48.4370184057745
600	365.222	-2.11438021795517
600	366.856	65.2193054183523
600	368.491	-28.1020369479303
600	370.126	7.63847629549403
600	371.762	46.4505527416712
600	373.398	-35.7930109563494
600	375.035	18.4151471352551
600	376.672	52.4705986945184
600	378.31	26.4752586604737
600	379.949	13.2052349379268
600	381.588	-30.8579911120096
600	383.227	-2.74315077249844
600	384.867	9.11648745049351
600	386.508	2.81772220551209
600	388.149	18.1534234586799
600	389.79	12.3935583511531
600	391.432	-4.34774184810778
600	393.075	-86.9214743799916
600	394.718	33.0645892971143
600	396.361	65.2655571798045
600	398.005	-37.2739135197856
600	399.65	0.701839476579647
600	401.295	-25.9530264832605
600	402.941	10.0574251944031
600	404.587	-5.7392861065246
600	406.233	103.339696805693
600	407.88	19.0229056369502
600	409.527	24.4598066010453
600	411.175	44.3216938392571
600	412.824	12.0527696529964
600	414.473	26.2690348521284
600	416.122	-26.7920717969454
600	417.772	3.16580839435114
600	419.422	-48.7711417123015
600	421.073	0.0531451892836863
600	422.724	33.0231077666253
600	424.376	3.16422069417532
600	426.028	3.12178068886631
600	427.681	30.2360143464261
600	429.334	-8.86897452398222
600	430.987	-1.29012110867572
600	432.641	8.34980557442252
600	434.295	-5.57267402960002
600	435.95	37.3274634156613
600	437.606	46.5356110797048
600	439.261	48.5381247929077
600	440.918	-1.95586227758677
600	442.574	31.8923035894607
600	444.231	6.0546991070554
600	445.889	-66.0942043041044
600	447.547	6.55087413869774
600	449.205	23.415383561385
600	450.864	10.0585102682268
600	452.523	49.3595695199788
600	454.182	-39.1741229912045
600	455.842	10.7075591291356
600	457.503	-2.6651844824799
600	459.164	64.6687309539086
600	460.825	50.4025927139444
600	462.487	2.8349413619888
600	464.149	61.636808986572
600	465.811	13.9422350638373
600	467.474	-8.08819098787879
600	469.137	45.7368762921747
600	470.801	16.4103635343543
600	472.465	-33.6457665377017
600	474.13	35.2152332626077
600	475.794	-26.7699120625844
600	477.46	53.7674469662414
600	479.125	2.08354856672939
600	480.791	-26.5138785564926
600	482.458	23.7416738657617
600	484.124	30.2877290877544
600	485.792	21.499827122275
600	487.459	10.2820539707533
600	489.127	41.8166177316012
600	490.795	-35.5567669656482
600	492.464	41.2853556483121
600	494.133	56.4569702119751
600	495.802	6.27829534710656
600	497.472	26.5469072153654
600	499.142	18.2422983753725
600	500.812	14.9871775993963
600	502.483	-15.3306982355717
600	504.154	25.672038685207
600	505.825	40.7719188102027
600	507.497	10.1451856049089
600	509.169	21.296247339208
600	510.842	33.1377139281878
600	512.514	10.0408924520434
600	514.187	7.54637038160986
600	515.861	-6.71275506657374
600	517.535	-49.2602214435461
600	519.209	16.6932312793761
600	520.883	0.154106650586712
600	522.558	15.4655899858434
600	524.233	11.0131737151437
600	525.908	30.3810470619464
600	527.584	-20.2882208074419
600	529.26	55.3891377337986
600	530.936	-0.536891104185049
600	532.613	32.916415216065
600	534.29	17.9784879248714
600	535.967	-18.9331730304168
600	537.644	5.08204544085076
600	539.322	26.9959564995496
600	541	41.048049259479
600	542.678	-1.72578854331169
600	544.357	41.9628427392715
600	546.036	-36.7014353037188
600	547.715	22.8301202186814
600	549.395	16.4234521153965
600	551.074	-23.9317572433276
600	552.754	19.5362367992119
600	554.435	-13.5738243945031
600	556.115	0.799889233831067
600	557.796	-15.724444491411
600	559.477	1.82314719414693
600	561.159	7.06755250920537
600	562.84	-27.2501127487927
600	564.522	3.36424887718085
600	566.204	1.23894557446974
600	567.886	-27.0779907070744
600	569.569	42.473502990478
600	571.252	61.9715856164865
600	572.935	27.1362992355467
600	574.618	-19.7628886542583
600	576.302	-5.91385337444419
600	577.986	-38.5298144226774
600	579.67	21.2211447157691
600	581.354	14.4871585203215
600	583.038	37.115899458174
600	584.723	38.1060600049575
600	586.408	4.69881773789913
600	588.093	29.6278444732139
600	589.778	-30.4777536221014
600	591.464	0.0851997738200758
600	593.15	-38.7420553393282
600	594.835	-348.365501430751
600	596.522	-1139.11516297482
600	598.208	-2441.22741347399
600	599.894	-3806.37060156078
600	601.581	-4724.98409649094
600	603.268	-4647.72676856441
600	604.955	-3764.24616212382
600	606.643	-2633.67648570235
600	608.33	-1767.85241593759
600	610.018	-954.162542793037
600	611.705	-350.820739667375
600	613.394	-132.790090771633
600	615.082	-38.2547614816123
600	616.77	-6.71368896844911
600	618.459	-19.3172073609072
600	620.147	23.9679306765217
595	211.124	-35.1452782325839
595	212.698	42.7409314277274
595	214.273	9.33765359592358
595	215.848	-12.5140617565081
595	217.424	26.6766780481834
595	219.001	2.40469419240814
595	220.579	26.0529200338941
595	222.157	55.0758886084776
595	223.736	-102.828674463182
595	225.315	14.2054456467479
595	226.896	-21.723227287214
595	228.477	-14.1859777580785
595	230.058	-13.4259445231038
595	231.641	-23.2783359567684
595	233.224	-20.1136085293855
595	234.808	-29.9153834525099
595	236.392	4.08829092718018
595	237.977	-67.7495870520743
595	239.563	17.6193620490984
595	241.15	39.0622517394739
595	242.737	-3.339938425407
595	244.325	6.73049336135429
595	245.913	45.9796368320539
595	247.503	-11.7150927441946
595	249.093	61.9309764573157
595	250.683	-29.0635183711817
595	252.274	43.7442660220748
595	253.866	-46.4342808861573
595	255.459	16.6828232506388
595	257.052	-26.1889159263139
595	258.646	19.1464282985651
